split,method,coverage,selective_accuracy
test_exome_id,predictive_entropy,0.1,0.991869918699187
test_exome_id,predictive_entropy,0.2,0.9919028340080972
test_exome_id,predictive_entropy,0.3,0.9702702702702702
test_exome_id,predictive_entropy,0.4,0.9513184584178499
test_exome_id,predictive_entropy,0.5,0.9107142857142857
test_exome_id,predictive_entropy,0.6,0.8675675675675676
test_exome_id,predictive_entropy,0.7,0.8238702201622248
test_exome_id,predictive_entropy,0.8,0.7758620689655172
test_exome_id,predictive_entropy,0.9,0.7252252252252253
test_exome_id,predictive_entropy,1.0,0.6869424168694241
test_panel_shifted,predictive_entropy,0.1,0.5641025641025641
test_panel_shifted,predictive_entropy,0.2,0.507367072389494
test_panel_shifted,predictive_entropy,0.3,0.4861170439982913
test_panel_shifted,predictive_entropy,0.4,0.4556231976930471
test_panel_shifted,predictive_entropy,0.5,0.4333675038441825
test_panel_shifted,predictive_entropy,0.6,0.4077317385732593
test_panel_shifted,predictive_entropy,0.7,0.3863053826437203
test_panel_shifted,predictive_entropy,0.8,0.37071451457866067
test_panel_shifted,predictive_entropy,0.9,0.35027765912003417
test_panel_shifted,predictive_entropy,1.0,0.3351275150583109
